FEATURE_NAME,PLAN,PLATFORM,EVENT_MONTH,EVENT_YEAR,EVENT_MONTH_NUM,EVENTS,UNIQUE_USERS,AVG_DURATION_SEC
filter_tasks,enterprise,web,2023-01-01 00:00:00.000,2023,1,1009,559,3.98
filter_tasks,free,api,2023-01-01 00:00:00.000,2023,1,197,107,3.35
filter_tasks,free,mobile,2023-01-01 00:00:00.000,2023,1,322,191,3.66
filter_tasks,free,web,2023-01-01 00:00:00.000,2023,1,1192,611,3.38
filter_tasks,pro,api,2023-01-01 00:00:00.000,2023,1,298,180,3.19
filter_tasks,pro,mobile,2023-01-01 00:00:00.000,2023,1,588,332,3.06
filter_tasks,pro,web,2023-01-01 00:00:00.000,2023,1,1954,920,3.51
invite_teammate,enterprise,api,2023-01-01 00:00:00.000,2023,1,126,92,4.17
invite_teammate,enterprise,mobile,2023-01-01 00:00:00.000,2023,1,268,181,3.63
invite_teammate,enterprise,web,2023-01-01 00:00:00.000,2023,1,846,495,3.54
invite_teammate,free,api,2023-01-01 00:00:00.000,2023,1,19,19,2.69
invite_teammate,free,mobile,2023-01-01 00:00:00.000,2023,1,35,32,3.32
invite_teammate,free,web,2023-01-01 00:00:00.000,2023,1,154,139,3.49
invite_teammate,pro,api,2023-01-01 00:00:00.000,2023,1,105,84,3.89
invite_teammate,pro,mobile,2023-01-01 00:00:00.000,2023,1,262,187,3.40
invite_teammate,pro,web,2023-01-01 00:00:00.000,2023,1,874,523,3.62
search,enterprise,api,2023-01-01 00:00:00.000,2023,1,142,101,3.56
search,enterprise,mobile,2023-01-01 00:00:00.000,2023,1,314,199,3.20
search,enterprise,web,2023-01-01 00:00:00.000,2023,1,958,531,3.98
search,free,api,2023-01-01 00:00:00.000,2023,1,203,107,3.90
search,free,mobile,2023-01-01 00:00:00.000,2023,1,375,213,3.74
search,free,web,2023-01-01 00:00:00.000,2023,1,1331,663,3.30
search,pro,api,2023-01-01 00:00:00.000,2023,1,301,179,3.44
search,pro,mobile,2023-01-01 00:00:00.000,2023,1,634,336,3.36
search,pro,web,2023-01-01 00:00:00.000,2023,1,2156,980,3.72
set_deadline,enterprise,api,2023-01-01 00:00:00.000,2023,1,115,86,2.35
set_deadline,enterprise,mobile,2023-01-01 00:00:00.000,2023,1,232,160,3.05
set_deadline,enterprise,web,2023-01-01 00:00:00.000,2023,1,769,459,3.83
set_deadline,free,api,2023-01-01 00:00:00.000,2023,1,49,37,3.18
set_deadline,free,mobile,2023-01-01 00:00:00.000,2023,1,100,76,4.38
set_deadline,free,web,2023-01-01 00:00:00.000,2023,1,344,257,3.31
set_deadline,pro,api,2023-01-01 00:00:00.000,2023,1,141,114,3.25
set_deadline,pro,mobile,2023-01-01 00:00:00.000,2023,1,273,189,3.04
set_deadline,pro,web,2023-01-01 00:00:00.000,2023,1,992,571,3.40
upload_file,enterprise,api,2023-01-01 00:00:00.000,2023,1,136,103,3.88
upload_file,enterprise,mobile,2023-01-01 00:00:00.000,2023,1,232,155,3.21
upload_file,enterprise,web,2023-01-01 00:00:00.000,2023,1,794,483,3.70
upload_file,free,api,2023-01-01 00:00:00.000,2023,1,64,49,2.82
upload_file,free,mobile,2023-01-01 00:00:00.000,2023,1,105,82,3.23
upload_file,free,web,2023-01-01 00:00:00.000,2023,1,404,309,3.60
upload_file,pro,api,2023-01-01 00:00:00.000,2023,1,163,117,3.16
upload_file,pro,mobile,2023-01-01 00:00:00.000,2023,1,343,235,4.27
upload_file,pro,web,2023-01-01 00:00:00.000,2023,1,1056,635,3.59
view_analytics,enterprise,api,2023-01-01 00:00:00.000,2023,1,226,139,3.81
view_analytics,enterprise,mobile,2023-01-01 00:00:00.000,2023,1,401,246,3.89
view_analytics,enterprise,web,2023-01-01 00:00:00.000,2023,1,1444,663,3.85
view_analytics,free,api,2023-01-01 00:00:00.000,2023,1,15,15,4.23
view_analytics,free,mobile,2023-01-01 00:00:00.000,2023,1,25,25,2.06
view_analytics,free,web,2023-01-01 00:00:00.000,2023,1,52,50,3.23
view_analytics,pro,api,2023-01-01 00:00:00.000,2023,1,71,57,2.71
view_analytics,pro,mobile,2023-01-01 00:00:00.000,2023,1,151,126,3.65
view_analytics,pro,web,2023-01-01 00:00:00.000,2023,1,530,369,4.43
view_dashboard,enterprise,api,2023-01-01 00:00:00.000,2023,1,214,132,3.37
view_dashboard,enterprise,mobile,2023-01-01 00:00:00.000,2023,1,438,252,4.11
view_dashboard,enterprise,web,2023-01-01 00:00:00.000,2023,1,1537,674,4.01
view_dashboard,free,api,2023-01-01 00:00:00.000,2023,1,249,121,4.33
view_dashboard,free,mobile,2023-01-01 00:00:00.000,2023,1,467,227,3.61
view_dashboard,free,web,2023-01-01 00:00:00.000,2023,1,1655,726,3.98
view_dashboard,pro,api,2023-01-01 00:00:00.000,2023,1,366,195,3.29
view_dashboard,pro,mobile,2023-01-01 00:00:00.000,2023,1,866,401,3.71
view_dashboard,pro,web,2023-01-01 00:00:00.000,2023,1,2825,1123,3.63
comment_task,enterprise,api,2023-02-01 00:00:00.000,2023,2,117,88,4.06
comment_task,enterprise,mobile,2023-02-01 00:00:00.000,2023,2,258,173,3.94
comment_task,enterprise,web,2023-02-01 00:00:00.000,2023,2,1052,558,3.93
comment_task,free,api,2023-02-01 00:00:00.000,2023,2,81,64,4.82
comment_task,free,mobile,2023-02-01 00:00:00.000,2023,2,185,114,4.64
comment_task,free,web,2023-02-01 00:00:00.000,2023,2,714,458,3.43
comment_task,pro,api,2023-02-01 00:00:00.000,2023,2,184,125,3.76
comment_task,pro,mobile,2023-02-01 00:00:00.000,2023,2,417,262,3.68
comment_task,pro,web,2023-02-01 00:00:00.000,2023,2,1724,900,3.28
create_project,enterprise,api,2023-02-01 00:00:00.000,2023,2,131,91,4.74
create_project,enterprise,mobile,2023-02-01 00:00:00.000,2023,2,275,183,3.47
create_project,enterprise,web,2023-02-01 00:00:00.000,2023,2,911,486,3.38
create_project,free,api,2023-02-01 00:00:00.000,2023,2,60,57,3.90
create_project,free,mobile,2023-02-01 00:00:00.000,2023,2,156,108,3.82
create_project,free,web,2023-02-01 00:00:00.000,2023,2,535,378,3.66
create_project,pro,api,2023-02-01 00:00:00.000,2023,2,159,114,3.85
create_project,pro,mobile,2023-02-01 00:00:00.000,2023,2,423,254,4.13
create_project,pro,web,2023-02-01 00:00:00.000,2023,2,1384,795,3.74
export_report,enterprise,api,2023-02-01 00:00:00.000,2023,2,139,102,3.07
export_report,enterprise,mobile,2023-02-01 00:00:00.000,2023,2,227,161,4.20
export_report,enterprise,web,2023-02-01 00:00:00.000,2023,2,822,457,4.06
export_report,free,api,2023-02-01 00:00:00.000,2023,2,6,6,4.33
export_report,free,mobile,2023-02-01 00:00:00.000,2023,2,18,18,2.83
export_report,free,web,2023-02-01 00:00:00.000,2023,2,57,52,6.18
export_report,pro,api,2023-02-01 00:00:00.000,2023,2,68,56,5.32
export_report,pro,mobile,2023-02-01 00:00:00.000,2023,2,162,120,3.64
export_report,pro,web,2023-02-01 00:00:00.000,2023,2,559,404,3.55
filter_tasks,enterprise,api,2023-02-01 00:00:00.000,2023,2,151,113,3.15
filter_tasks,enterprise,mobile,2023-02-01 00:00:00.000,2023,2,306,189,3.70
filter_tasks,enterprise,web,2023-02-01 00:00:00.000,2023,2,1055,534,4.02
filter_tasks,free,api,2023-02-01 00:00:00.000,2023,2,113,82,3.71
filter_tasks,free,mobile,2023-02-01 00:00:00.000,2023,2,278,159,3.37
filter_tasks,free,web,2023-02-01 00:00:00.000,2023,2,1061,579,3.88
filter_tasks,pro,api,2023-02-01 00:00:00.000,2023,2,229,152,2.62
filter_tasks,pro,mobile,2023-02-01 00:00:00.000,2023,2,523,304,3.76
filter_tasks,pro,web,2023-02-01 00:00:00.000,2023,2,1968,963,3.50
invite_teammate,enterprise,api,2023-02-01 00:00:00.000,2023,2,114,90,3.97
invite_teammate,enterprise,mobile,2023-02-01 00:00:00.000,2023,2,249,179,3.73
invite_teammate,enterprise,web,2023-02-01 00:00:00.000,2023,2,881,483,3.83
invite_teammate,free,api,2023-02-01 00:00:00.000,2023,2,23,21,2.46
invite_teammate,free,mobile,2023-02-01 00:00:00.000,2023,2,35,29,2.66
invite_teammate,free,web,2023-02-01 00:00:00.000,2023,2,135,121,3.40
invite_teammate,pro,api,2023-02-01 00:00:00.000,2023,2,99,76,2.42
invite_teammate,pro,mobile,2023-02-01 00:00:00.000,2023,2,194,145,3.39
invite_teammate,pro,web,2023-02-01 00:00:00.000,2023,2,889,580,3.28
search,enterprise,api,2023-02-01 00:00:00.000,2023,2,149,101,4.36
search,enterprise,mobile,2023-02-01 00:00:00.000,2023,2,286,184,4.53
search,enterprise,web,2023-02-01 00:00:00.000,2023,2,1024,543,3.81
search,free,api,2023-02-01 00:00:00.000,2023,2,136,89,2.45
search,free,mobile,2023-02-01 00:00:00.000,2023,2,304,158,3.87
search,free,web,2023-02-01 00:00:00.000,2023,2,1100,580,3.72
search,pro,api,2023-02-01 00:00:00.000,2023,2,256,149,3.64
search,pro,mobile,2023-02-01 00:00:00.000,2023,2,556,328,4.06
search,pro,web,2023-02-01 00:00:00.000,2023,2,2105,1031,3.68
set_deadline,enterprise,api,2023-02-01 00:00:00.000,2023,2,116,88,5.04
set_deadline,enterprise,mobile,2023-02-01 00:00:00.000,2023,2,269,185,3.90
set_deadline,enterprise,web,2023-02-01 00:00:00.000,2023,2,845,494,3.88
set_deadline,free,api,2023-02-01 00:00:00.000,2023,2,37,33,2.65
set_deadline,free,mobile,2023-02-01 00:00:00.000,2023,2,76,65,4.93
set_deadline,free,web,2023-02-01 00:00:00.000,2023,2,270,215,3.62
set_deadline,pro,api,2023-02-01 00:00:00.000,2023,2,116,90,3.34
set_deadline,pro,mobile,2023-02-01 00:00:00.000,2023,2,262,174,3.72
set_deadline,pro,web,2023-02-01 00:00:00.000,2023,2,958,613,3.40
upload_file,enterprise,api,2023-02-01 00:00:00.000,2023,2,112,90,2.67
upload_file,enterprise,mobile,2023-02-01 00:00:00.000,2023,2,264,176,3.18
upload_file,enterprise,web,2023-02-01 00:00:00.000,2023,2,781,472,3.52
upload_file,free,api,2023-02-01 00:00:00.000,2023,2,39,32,4.01
upload_file,free,mobile,2023-02-01 00:00:00.000,2023,2,92,76,4.15
upload_file,free,web,2023-02-01 00:00:00.000,2023,2,352,264,3.81
upload_file,pro,api,2023-02-01 00:00:00.000,2023,2,154,100,3.49
upload_file,pro,mobile,2023-02-01 00:00:00.000,2023,2,304,215,3.88
upload_file,pro,web,2023-02-01 00:00:00.000,2023,2,1102,658,4.10
view_analytics,enterprise,api,2023-02-01 00:00:00.000,2023,2,194,121,3.52
view_analytics,enterprise,mobile,2023-02-01 00:00:00.000,2023,2,385,214,3.67
view_analytics,enterprise,web,2023-02-01 00:00:00.000,2023,2,1443,641,3.65
view_analytics,free,api,2023-02-01 00:00:00.000,2023,2,5,5,4.91
view_analytics,free,mobile,2023-02-01 00:00:00.000,2023,2,17,15,2.02
view_analytics,free,web,2023-02-01 00:00:00.000,2023,2,65,61,3.71
view_analytics,pro,api,2023-02-01 00:00:00.000,2023,2,52,46,2.68
view_analytics,pro,mobile,2023-02-01 00:00:00.000,2023,2,169,133,3.00
view_analytics,pro,web,2023-02-01 00:00:00.000,2023,2,562,409,3.93
view_dashboard,enterprise,api,2023-02-01 00:00:00.000,2023,2,234,136,3.73
view_dashboard,enterprise,mobile,2023-02-01 00:00:00.000,2023,2,436,231,5.73
view_dashboard,enterprise,web,2023-02-01 00:00:00.000,2023,2,1523,676,3.63
view_dashboard,free,api,2023-02-01 00:00:00.000,2023,2,162,109,3.77
view_dashboard,free,mobile,2023-02-01 00:00:00.000,2023,2,364,190,3.68
view_dashboard,free,web,2023-02-01 00:00:00.000,2023,2,1389,673,3.31
view_dashboard,pro,api,2023-02-01 00:00:00.000,2023,2,309,181,4.18
view_dashboard,pro,mobile,2023-02-01 00:00:00.000,2023,2,788,386,3.86
view_dashboard,pro,web,2023-02-01 00:00:00.000,2023,2,2846,1204,3.67
comment_task,enterprise,api,2023-03-01 00:00:00.000,2023,3,224,149,3.95
comment_task,enterprise,mobile,2023-03-01 00:00:00.000,2023,3,456,294,4.04
comment_task,enterprise,web,2023-03-01 00:00:00.000,2023,3,1548,771,3.28
comment_task,free,api,2023-03-01 00:00:00.000,2023,3,119,80,3.18
comment_task,free,mobile,2023-03-01 00:00:00.000,2023,3,254,172,3.58
comment_task,free,web,2023-03-01 00:00:00.000,2023,3,918,571,3.72
comment_task,pro,api,2023-03-01 00:00:00.000,2023,3,280,195,4.14
comment_task,pro,mobile,2023-03-01 00:00:00.000,2023,3,536,372,3.97
comment_task,pro,web,2023-03-01 00:00:00.000,2023,3,1968,1141,3.57
create_project,enterprise,api,2023-03-01 00:00:00.000,2023,3,160,112,3.30
create_project,enterprise,mobile,2023-03-01 00:00:00.000,2023,3,435,288,3.72
create_project,enterprise,web,2023-03-01 00:00:00.000,2023,3,1405,740,3.61
create_project,free,api,2023-03-01 00:00:00.000,2023,3,96,67,3.18
create_project,free,mobile,2023-03-01 00:00:00.000,2023,3,200,149,3.60
create_project,free,web,2023-03-01 00:00:00.000,2023,3,752,487,3.88
create_project,pro,api,2023-03-01 00:00:00.000,2023,3,242,157,3.77
create_project,pro,mobile,2023-03-01 00:00:00.000,2023,3,458,310,4.19
create_project,pro,web,2023-03-01 00:00:00.000,2023,3,1685,1011,4.04
export_report,enterprise,api,2023-03-01 00:00:00.000,2023,3,179,127,4.49
export_report,enterprise,mobile,2023-03-01 00:00:00.000,2023,3,375,258,4.31
export_report,enterprise,web,2023-03-01 00:00:00.000,2023,3,1263,684,3.86
export_report,free,api,2023-03-01 00:00:00.000,2023,3,9,9,2.53
export_report,free,mobile,2023-03-01 00:00:00.000,2023,3,24,24,4.94
export_report,free,web,2023-03-01 00:00:00.000,2023,3,60,60,3.26
export_report,pro,api,2023-03-01 00:00:00.000,2023,3,89,70,2.94
export_report,pro,mobile,2023-03-01 00:00:00.000,2023,3,186,162,3.03
export_report,pro,web,2023-03-01 00:00:00.000,2023,3,648,517,4.01
filter_tasks,enterprise,api,2023-03-01 00:00:00.000,2023,3,221,143,3.19
filter_tasks,enterprise,mobile,2023-03-01 00:00:00.000,2023,3,505,312,3.66
filter_tasks,enterprise,web,2023-03-01 00:00:00.000,2023,3,1655,807,3.67
filter_tasks,free,api,2023-03-01 00:00:00.000,2023,3,165,98,4.82
filter_tasks,free,mobile,2023-03-01 00:00:00.000,2023,3,412,244,3.97
filter_tasks,free,web,2023-03-01 00:00:00.000,2023,3,1307,689,3.84
filter_tasks,pro,api,2023-03-01 00:00:00.000,2023,3,294,194,4.97
filter_tasks,pro,mobile,2023-03-01 00:00:00.000,2023,3,628,399,4.00
filter_tasks,pro,web,2023-03-01 00:00:00.000,2023,3,2322,1231,4.05
invite_teammate,enterprise,api,2023-03-01 00:00:00.000,2023,3,207,139,3.49
invite_teammate,enterprise,mobile,2023-03-01 00:00:00.000,2023,3,375,254,3.93
invite_teammate,enterprise,web,2023-03-01 00:00:00.000,2023,3,1252,693,3.67
invite_teammate,free,api,2023-03-01 00:00:00.000,2023,3,16,15,3.46
invite_teammate,free,mobile,2023-03-01 00:00:00.000,2023,3,41,39,3.47
invite_teammate,free,web,2023-03-01 00:00:00.000,2023,3,141,127,3.56
invite_teammate,pro,api,2023-03-01 00:00:00.000,2023,3,158,115,3.07
invite_teammate,pro,mobile,2023-03-01 00:00:00.000,2023,3,289,226,3.57
invite_teammate,pro,web,2023-03-01 00:00:00.000,2023,3,968,722,3.41
search,enterprise,api,2023-03-01 00:00:00.000,2023,3,206,141,4.32
search,enterprise,mobile,2023-03-01 00:00:00.000,2023,3,481,313,3.71
search,enterprise,web,2023-03-01 00:00:00.000,2023,3,1585,782,3.54
search,free,api,2023-03-01 00:00:00.000,2023,3,201,118,4.07
search,free,mobile,2023-03-01 00:00:00.000,2023,3,379,234,3.61
search,free,web,2023-03-01 00:00:00.000,2023,3,1559,771,3.76
search,pro,api,2023-03-01 00:00:00.000,2023,3,333,215,3.67
search,pro,mobile,2023-03-01 00:00:00.000,2023,3,645,393,3.52
search,pro,web,2023-03-01 00:00:00.000,2023,3,2554,1345,3.80
set_deadline,enterprise,api,2023-03-01 00:00:00.000,2023,3,188,128,2.85
set_deadline,enterprise,mobile,2023-03-01 00:00:00.000,2023,3,378,257,3.76
set_deadline,enterprise,web,2023-03-01 00:00:00.000,2023,3,1273,694,3.45
set_deadline,free,api,2023-03-01 00:00:00.000,2023,3,42,34,3.64
set_deadline,free,mobile,2023-03-01 00:00:00.000,2023,3,106,87,5.35
set_deadline,free,web,2023-03-01 00:00:00.000,2023,3,409,305,3.94
set_deadline,pro,api,2023-03-01 00:00:00.000,2023,3,170,131,2.51
set_deadline,pro,mobile,2023-03-01 00:00:00.000,2023,3,286,221,2.96
set_deadline,pro,web,2023-03-01 00:00:00.000,2023,3,1164,810,3.91
upload_file,enterprise,api,2023-03-01 00:00:00.000,2023,3,164,115,3.68
upload_file,enterprise,mobile,2023-03-01 00:00:00.000,2023,3,373,247,3.46
upload_file,enterprise,web,2023-03-01 00:00:00.000,2023,3,1199,670,3.52
upload_file,free,api,2023-03-01 00:00:00.000,2023,3,67,54,3.88
upload_file,free,mobile,2023-03-01 00:00:00.000,2023,3,133,103,4.02
upload_file,free,web,2023-03-01 00:00:00.000,2023,3,447,346,3.74
upload_file,pro,api,2023-03-01 00:00:00.000,2023,3,193,146,3.67
upload_file,pro,mobile,2023-03-01 00:00:00.000,2023,3,339,256,3.30
upload_file,pro,web,2023-03-01 00:00:00.000,2023,3,1374,916,3.90
view_analytics,enterprise,api,2023-03-01 00:00:00.000,2023,3,298,172,3.86
view_analytics,enterprise,mobile,2023-03-01 00:00:00.000,2023,3,657,373,3.83
view_analytics,enterprise,web,2023-03-01 00:00:00.000,2023,3,2160,923,3.93
view_analytics,free,api,2023-03-01 00:00:00.000,2023,3,9,8,2.50
view_analytics,free,mobile,2023-03-01 00:00:00.000,2023,3,24,23,2.39
view_analytics,free,web,2023-03-01 00:00:00.000,2023,3,73,70,3.59
view_analytics,pro,api,2023-03-01 00:00:00.000,2023,3,98,82,4.02
view_analytics,pro,mobile,2023-03-01 00:00:00.000,2023,3,174,148,3.22
view_analytics,pro,web,2023-03-01 00:00:00.000,2023,3,692,535,4.01
view_dashboard,enterprise,api,2023-03-01 00:00:00.000,2023,3,296,181,4.08
view_dashboard,enterprise,mobile,2023-03-01 00:00:00.000,2023,3,767,408,3.42
view_dashboard,enterprise,web,2023-03-01 00:00:00.000,2023,3,2262,970,3.80
view_dashboard,free,api,2023-03-01 00:00:00.000,2023,3,271,139,3.82
view_dashboard,free,mobile,2023-03-01 00:00:00.000,2023,3,531,271,3.50
view_dashboard,free,web,2023-03-01 00:00:00.000,2023,3,1873,871,3.26
view_dashboard,pro,api,2023-03-01 00:00:00.000,2023,3,449,242,4.33
view_dashboard,pro,mobile,2023-03-01 00:00:00.000,2023,3,922,496,3.65
view_dashboard,pro,web,2023-03-01 00:00:00.000,2023,3,3439,1532,3.64
comment_task,enterprise,api,2023-04-01 00:00:00.000,2023,4,301,160,3.95
comment_task,enterprise,mobile,2023-04-01 00:00:00.000,2023,4,518,303,3.73
comment_task,enterprise,web,2023-04-01 00:00:00.000,2023,4,1687,836,3.43
comment_task,free,api,2023-04-01 00:00:00.000,2023,4,144,92,4.06
comment_task,free,mobile,2023-04-01 00:00:00.000,2023,4,283,199,3.27
comment_task,free,web,2023-04-01 00:00:00.000,2023,4,935,582,3.85
comment_task,pro,api,2023-04-01 00:00:00.000,2023,4,326,209,3.56
comment_task,pro,mobile,2023-04-01 00:00:00.000,2023,4,532,345,3.60
comment_task,pro,web,2023-04-01 00:00:00.000,2023,4,1996,1224,3.66
create_project,enterprise,api,2023-04-01 00:00:00.000,2023,4,239,150,2.83
create_project,enterprise,mobile,2023-04-01 00:00:00.000,2023,4,426,256,3.83
create_project,enterprise,web,2023-04-01 00:00:00.000,2023,4,1547,799,3.73
create_project,free,api,2023-04-01 00:00:00.000,2023,4,108,74,4.09
create_project,free,mobile,2023-04-01 00:00:00.000,2023,4,216,162,3.95
create_project,free,web,2023-04-01 00:00:00.000,2023,4,810,563,3.86
create_project,pro,api,2023-04-01 00:00:00.000,2023,4,280,181,3.30
create_project,pro,mobile,2023-04-01 00:00:00.000,2023,4,457,295,3.57
create_project,pro,web,2023-04-01 00:00:00.000,2023,4,1637,1042,3.58
export_report,enterprise,api,2023-04-01 00:00:00.000,2023,4,214,144,3.54
export_report,enterprise,mobile,2023-04-01 00:00:00.000,2023,4,390,256,3.03
export_report,enterprise,web,2023-04-01 00:00:00.000,2023,4,1366,739,4.14
export_report,free,api,2023-04-01 00:00:00.000,2023,4,8,7,2.99
export_report,free,mobile,2023-04-01 00:00:00.000,2023,4,29,28,4.06
export_report,free,web,2023-04-01 00:00:00.000,2023,4,75,71,3.38
export_report,pro,api,2023-04-01 00:00:00.000,2023,4,101,79,4.21
export_report,pro,mobile,2023-04-01 00:00:00.000,2023,4,210,169,3.81
export_report,pro,web,2023-04-01 00:00:00.000,2023,4,668,538,3.66
filter_tasks,enterprise,api,2023-04-01 00:00:00.000,2023,4,246,151,3.74
filter_tasks,enterprise,mobile,2023-04-01 00:00:00.000,2023,4,479,293,4.11
filter_tasks,enterprise,web,2023-04-01 00:00:00.000,2023,4,1699,836,4.12
filter_tasks,free,api,2023-04-01 00:00:00.000,2023,4,239,131,3.27
filter_tasks,free,mobile,2023-04-01 00:00:00.000,2023,4,464,272,3.28
filter_tasks,free,web,2023-04-01 00:00:00.000,2023,4,1389,774,3.69
filter_tasks,pro,api,2023-04-01 00:00:00.000,2023,4,386,225,3.40
filter_tasks,pro,mobile,2023-04-01 00:00:00.000,2023,4,665,416,3.35
filter_tasks,pro,web,2023-04-01 00:00:00.000,2023,4,2299,1303,3.91
invite_teammate,enterprise,api,2023-04-01 00:00:00.000,2023,4,200,142,2.97
invite_teammate,enterprise,mobile,2023-04-01 00:00:00.000,2023,4,357,243,4.11
invite_teammate,enterprise,web,2023-04-01 00:00:00.000,2023,4,1312,714,3.98
invite_teammate,free,api,2023-04-01 00:00:00.000,2023,4,30,25,4.50
invite_teammate,free,mobile,2023-04-01 00:00:00.000,2023,4,56,54,5.67
invite_teammate,free,web,2023-04-01 00:00:00.000,2023,4,129,114,3.54
invite_teammate,pro,api,2023-04-01 00:00:00.000,2023,4,169,127,2.67
invite_teammate,pro,mobile,2023-04-01 00:00:00.000,2023,4,281,211,3.55
invite_teammate,pro,web,2023-04-01 00:00:00.000,2023,4,1005,726,4.20
search,enterprise,api,2023-04-01 00:00:00.000,2023,4,255,154,3.96
search,enterprise,mobile,2023-04-01 00:00:00.000,2023,4,509,300,3.43
search,enterprise,web,2023-04-01 00:00:00.000,2023,4,1702,842,3.49
search,free,api,2023-04-01 00:00:00.000,2023,4,233,139,3.08
search,free,mobile,2023-04-01 00:00:00.000,2023,4,487,270,3.80
search,free,web,2023-04-01 00:00:00.000,2023,4,1625,837,3.74
search,pro,api,2023-04-01 00:00:00.000,2023,4,413,238,4.40
search,pro,mobile,2023-04-01 00:00:00.000,2023,4,689,421,3.62
search,pro,web,2023-04-01 00:00:00.000,2023,4,2539,1413,3.91
set_deadline,enterprise,api,2023-04-01 00:00:00.000,2023,4,230,149,3.78
set_deadline,enterprise,mobile,2023-04-01 00:00:00.000,2023,4,412,257,4.88
set_deadline,enterprise,web,2023-04-01 00:00:00.000,2023,4,1403,750,4.01
set_deadline,free,api,2023-04-01 00:00:00.000,2023,4,63,51,3.00
set_deadline,free,mobile,2023-04-01 00:00:00.000,2023,4,121,104,5.11
set_deadline,free,web,2023-04-01 00:00:00.000,2023,4,401,327,4.02
set_deadline,pro,api,2023-04-01 00:00:00.000,2023,4,200,141,4.30
set_deadline,pro,mobile,2023-04-01 00:00:00.000,2023,4,331,264,3.82
set_deadline,pro,web,2023-04-01 00:00:00.000,2023,4,1238,853,4.25
upload_file,enterprise,api,2023-04-01 00:00:00.000,2023,4,208,139,4.11
upload_file,enterprise,mobile,2023-04-01 00:00:00.000,2023,4,363,243,3.83
upload_file,enterprise,web,2023-04-01 00:00:00.000,2023,4,1343,733,3.68
upload_file,free,api,2023-04-01 00:00:00.000,2023,4,90,64,3.19
upload_file,free,mobile,2023-04-01 00:00:00.000,2023,4,150,114,3.40
upload_file,free,web,2023-04-01 00:00:00.000,2023,4,473,351,3.52
upload_file,pro,api,2023-04-01 00:00:00.000,2023,4,246,167,3.66
upload_file,pro,mobile,2023-04-01 00:00:00.000,2023,4,363,273,3.92
upload_file,pro,web,2023-04-01 00:00:00.000,2023,4,1359,905,3.73
view_analytics,enterprise,api,2023-04-01 00:00:00.000,2023,4,387,198,4.09
view_analytics,enterprise,mobile,2023-04-01 00:00:00.000,2023,4,675,373,3.69
view_analytics,enterprise,web,2023-04-01 00:00:00.000,2023,4,2314,1000,3.37
view_analytics,free,api,2023-04-01 00:00:00.000,2023,4,7,6,4.41
view_analytics,free,mobile,2023-04-01 00:00:00.000,2023,4,19,19,2.76
view_analytics,free,web,2023-04-01 00:00:00.000,2023,4,87,86,3.50
view_analytics,pro,api,2023-04-01 00:00:00.000,2023,4,122,101,3.57
view_analytics,pro,mobile,2023-04-01 00:00:00.000,2023,4,194,170,3.86
